"Affiliation","City","State","Country","Longitude","Latitude","Coded Location","Geocoded","England _ km","England _Emissions","Cape Town _ km","Cape Town _Emissions"
NA,"Horta",NA,"Portugal",-28.63333,38.53333,"Horta, Portugal","Yes",4944.99476489755,0.790876303675408,18809.2399645262,2.89389316954098
NA,"Horta",NA,"Portugal",-28.63333,38.53333,"Horta, Portugal","Yes",4944.99476489755,0.790876303675408,18809.2399645262,2.89389316954098
NA,"Horta",NA,"Portugal",-28.63333,38.53333,"Horta, Portugal","Yes",4944.99476489755,0.790876303675408,18809.2399645262,2.89389316954098
NA,"Horta",NA,"Portugal",-28.63333,38.53333,"Horta, Portugal","Yes",4944.99476489755,0.790876303675408,18809.2399645262,2.89389316954098
NA,"Horta",NA,"Portugal",-28.63333,38.53333,"Horta, Portugal","Yes",4944.99476489755,0.790876303675408,18809.2399645262,2.89389316954098
NA,"Horta",NA,"Portugal",-28.63333,38.53333,"Horta, Portugal","Yes",4944.99476489755,0.790876303675408,18809.2399645262,2.89389316954098
NA,"Horta",NA,"Portugal",-28.63333,38.53333,"Horta, Portugal","Yes",4944.99476489755,0.790876303675408,18809.2399645262,2.89389316954098
NA,"Horta",NA,"Portugal",-28.63333,38.53333,"Horta, Portugal","Yes",4944.99476489755,0.790876303675408,18809.2399645262,2.89389316954098
NA,"Westville",NA,"South Africa",30.937,-29.8255,"Westville, KwaZulu-Natal, South Africa","No",19160.4812683389,2.94793335467771,2528.37329142662,0.404374649136062
NA,"Westville",NA,"South Africa",30.937,-29.8255,"Westville, KwaZulu-Natal, South Africa","No",19160.4812683389,2.94793335467771,2528.37329142662,0.404374649136062
NA,"Bellville",NA,"South Africa",18.6285,-33.9002,"Bellville, Western Cape, South Africa","No",19358.7894633269,2.97844403623753,35.9836472156274,0
NA,"Bellville",NA,"South Africa",18.6285,-33.9002,"Bellville, Western Cape, South Africa","No",19358.7894633269,2.97844403623753,35.9836472156274,0
NA,"Port Elizabeth",NA,"South Africa",25.6,-33.97,"Port Elizabeth, Eastern Cape, South Africa","No",19709.6737166524,3.03242928741796,1321.64034447482,0.211376165217881
NA,"Port Elizabeth",NA,"South Africa",25.6,-33.97,"Port Elizabeth, Eastern Cape, South Africa","No",19709.6737166524,3.03242928741796,1321.64034447482,0.211376165217881
NA,"Rondebosch",NA,"South Africa",18.47639,-33.96333,"Rondebosch, South Africa","Yes",19366.139513476,2.97957487724771,12.2950551387177,0
NA,"Pretoria",NA,"South Africa",28.2294,-25.7069,"Pretoria, Gauteng, South Africa","No",18119.0692745889,2.78770704776286,2625.55027869326,0.419916622413226
NA,"Madrid",NA,"Spain",-3.6834,40.4,"Madrid, Madrid, Spain","No",2396.09193403355,0.383218268602995,17139.6095630103,2.63701240116771
NA,"Madrid",NA,"Spain",-3.6834,40.4,"Madrid, Madrid, Spain","No",2396.09193403355,0.383218268602995,17139.6095630103,2.63701240116771
NA,"Madrid",NA,"Spain",-3.6834,40.4,"Madrid, Madrid, Spain","No",2396.09193403355,0.383218268602995,17139.6095630103,2.63701240116771
